game,developer,pub_date,publisher,score,user_review_score,dsct_1st_month_20_pct_plus,dsct_2nd_month_20_pct_plus,dsct_3rd_month_20_pct_plus,dsct_4th_month_20_pct_plus,genre_2d,genre_3d,genre_action,genre_adventure,genre_arcade,genre_basketball,genre_beatemup,genre_compilation,genre_drivingracing,genre_fighting,genre_firstperson,genre_fixedscreen,genre_flight,genre_freetoplay,genre_gambling,genre_golf,genre_hiddenobject,genre_management,genre_miscellaneous,genre_mmo,genre_moba,genre_musicrhythm,genre_onrails,genre_openworld,genre_partyminigame,genre_pinball,genre_platformer,genre_puzzle,genre_realtime,genre_roguelike,genre_roleplaying,genre_shootemup,genre_shooter,genre_simulation,genre_skateboardingskating,genre_soccer,genre_sports,genre_strategy,genre_survival,genre_tactical,genre_teambased,genre_textbased,genre_thirdperson,genre_turnbased,genre_wrestling
1001 Spikes,[u'Nicalis'],2014-06-03,[u'Nicalis'],8.0,7.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,[u'Jeppe Carlsen'],2013-10-16,[u'Jeppe Carlsen'],7.0,7.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Grand Steps,[u'Mousechief'],2013-06-07,[u'Mousechief'],7.0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7554,[u'Emobi Games'],2012-07-20,"[u'Tradewest', u'Emobi Games']",35.0,5.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A Bird Story,[u'Freebird Games'],2014-12-31,[u'Freebird Games'],8.0,6.6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A City Sleeps,[u'Harmonix Music Systems'],2014-10-16,[u'Harmonix Music Systems'],5.0,5.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Valley Without Wind,"[u'Arcen Games, LLC']",2012-04-24,"[u'Arcen Games, LLC']",55.0,5.6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Valley Without Wind 2,"[u'Arcen Games, LLC']",2013-02-18,"[u'Arcen Games, LLC']",8.0,5.3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.R.E.S. Extinction Agenda EX,"[u'Extend Studio', u'ORiGO GAMES']",2013-10-03,"[u'ORiGO GAMES', u'Aksys Games']",6.0,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY,"[u'Lexis Numerique', u'VectorCell']",2012-01-11,[u'Lexis Numerique'],3.0,4.6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaru's Awakening,[u'Lumenox ehf'],2015-02-23,[u'Lumenox ehf'],4.0,1.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action Henk,[u'RageSquid'],2014-07-08,[u'RageSquid'],7.0,5.6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,[u'WayForward'],2013-11-19,"[u'Namco Bandai Games', u'D3Publisher']",2.0,5.3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Time: The Secret of the Nameless Kingdom,[u'WayForward'],2014-11-18,[u'Little Orbit'],6.0,2.0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Control,[u'killjoygames'],2014-05-23,[u'killjoygames'],1.0,6.6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Akaneiro: Demon Hunters,[u'Spicy Horse'],2013-01-24,[u'Spicy Horse'],5.0,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Wake's American Nightmare,[u'Remedy Entertainment'],2012-02-22,"[u'Mastertronic', u'Nordic Games Publishing', u'Remedy Entertainment', u'Microsoft Game Studios']",7.0,7.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien Rage,[u'CI Games'],2013-09-27,"[u'CI Games', u'City Interactive', u'Ubisoft']",5.0,5.8,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Alien Spidy,[u'Enigma Software Productions'],2013-03-20,[u'Kalypso'],45.0,5.5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien: Isolation,[u'Creative Assembly'],2014-10-06,[u'Sega'],6.0,8.2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Always Sometimes Monsters,[u'Vagabond Dog'],2014-05-21,[u'Devolver Digital'],5.0,6.8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amnesia: A Machine for Pigs,[u'Frictional Games'],2013-09-10,[u'Frictional Games'],8.0,7.3,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Among the Sleep,[u'Krillbite Studio'],2014-12-31,[u'Krillbite Studio'],7.0,7.1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry Birds Space,[u'Rovio Mobile'],2012-03-22,"[u'Rovio Mobile', u'Focus Multimedia']",8.0,7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anomaly 2,[u'11 bit studios'],2013-05-15,"[u'11 bit studios', u'Chillingo Ltd.']",8.0,7.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apotheon,[u'Alientrap'],2015-02-03,[u'Alientrap'],8.0,7.1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed IV: Black Flag,"[u'Ubisoft', u'Ubisoft Montreal']",2013-10-29,[u'Ubisoft'],9.0,8.7,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awesomenauts,"[u'Ronimo Games', u'DTP Entertainment', u'Abstraction Games']",2012-05-01,"[u'Merge Games', u'Ronimo Games', u'DTP Entertainment', u'Soedesco']",8.0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Axiom Verge,[u'Tom Happ'],2015-03-31,[u'Tom Happ'],8.0,7.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babel Rising,[u'Mondo Productions'],2012-06-12,[u'Ubisoft'],6.0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Banished,[u'Shining Rock Software'],2014-12-31,[u'Shining Rock Software'],8.0,7.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Batman: Arkham Origins,"[u'WB Games Montreal', u'Human Head Studios']",2013-10-25,[u'Warner Bros. Interactive Entertainment'],6.0,7.9,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BattleBlock Theater,[u'The Behemoth'],2013-04-03,"[u'The Behemoth', u'Microsoft Game Studios']",85.0,8.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battlefield 4,"[u'EA DICE', u'Dice', u'Electronic Arts']",2013-10-29,[u'Electronic Arts'],8.0,7.5,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Battlefield Hardline,[u'Visceral Games'],2015-03-17,[u'Electronic Arts'],7.0,6.1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
