,publisher,publisher_standard,count,type,comment
0,Ubisoft,Ubisoft,26,major,
1,Microsoft Game Studios,Microsoft,21,major,
2,Square Enix,Square Enix,17,major,
3,Mastertronic,Mastertronic,16,indie,
4,Deep Silver,Deep Silver,16,mid,
5,Electronic Arts,EA,14,major,
6,Spike Chunsoft,Spike Chunsoft,12,major,japanese
7,Focus Home Interactive,Focus Home Interactive,12,mid,
8,2K Games,2K Games,11,mid,
9,CyberFront,CyberFront,11,major,japanese
10,Activision,Activision Blizzard,11,major,
11,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,10,mid,
12,Kalypso,Kalypso,10,mid,german
13,Sega,Sega,9,major,japanese
14,Daedalic Entertainment,Daedalic Entertainment,9,mid,german
15,Capcom,Capcom,9,mid,japanese
16,Konami,Konami,9,mid,japanese
17,Paradox Interactive,Paradox Interactive,9,mid,sweden
18,Merge Games,Merge Games,8,indie,
19,Feral Interactive,Feral Interactive,8,mid,osx and linux
20,Codemasters,Codemasters,8,indie,
21,E-Frontier,E-Frontier,7,mid,japanese
22,Iceberg Interactive,Iceberg Interactive,7,mid,netherland
23,Devolver Digital,Devolver Digital,7,mid,
24,Namco Bandai Games,Namco Bandai Games,7,major,japanese
25,Nordic Games Publishing,Nordic Games Publishing,7,indie,sweden
26,Curve Studios,Curve Studios,6,indie,
27,Bandai Namco Games,Namco Bandai Games,5,major,japanese
28,Blizzard Entertainment,Activision Blizzard,5,major,
29,Atari,,5,indie,french
30,Ikaron,,5,indie,
31,Aspyr,,4,,
32,Nintendo,Nintendo,4,major,
33,Lace Mamba Global,,4,,
34,Midnight City,,4,,
35,BigBen Interactive,,4,,
36,Zoo Corporation,,4,,
37,Koch Media,,3,,
38,Soedesco,,3,,
39,Perfect World Entertainment,,3,mid,
40,EA Games,EA,3,major,
41,Sold Out Software,,3,,
42,Telltale Games,Telltale Games,3,mid,
43,NeocoreGames,,3,,
44,Take-Two Interactive,Take-Two Interactive,3,mid,
45,bitComposer Games,,3,,
46,THQ,,3,mid,
47,Rockstar Games,,3,mid,
48,Robot Entertainment,,3,,
49,Rebellion,,3,,
50,ATLUS,Atlus,3,mid,
51,Sony Online Entertainment,Sony,3,major,
52,Amplitude Studios ,,3,,
53,2K Sports,,3,mid,
54,Double Fine Productions,,3,,
55,Runic Games,,2,,
56,Little Orbit,,2,,
57,Grip Games,,2,,
58,Majesco Games,,2,,
59,Headup Games,,2,,
60,Reverb,,2,,
61,505 Games,,2,mid,
62,Aksys Games,,2,mid,
63,Maximum Games,,2,,
64,Larian Studios,,2,,
65,Sierra Entertainment,,2,mid,
66,Reverb Triple XP,,2,,
67,NCSOFT,,2,,
68,Marvelous AQL,,2,,
69,City Interactive,,2,,
70,MacSoft,,2,,
71,VU Games,,2,,
72,"TECMO KOEI GAMES CO., LTD.",Koei Tecmo,2,mid,
73,Adult Swim,,2,,
74,D3Publisher,,2,,
75,Excalibur Publishing Limited,,2,,
76,Crytek,,2,mid,usually with microsoft
77,Surprise Attack,,2,,
78,Nicalis,,2,,
79,Chillingo Ltd.,,2,,
80,11 bit studios,,2,,
81,LOOT Entertainment,,2,,
82,Disney Interactive Studios,,2,,
83,Bethesda Softworks,,2,,
84,Plug In Digital,,2,,
85,Almost Human,,2,,
86,5pb,,2,,
87,Gameloft,,2,,
88,From Software,,2,,
89,Wadjet Eye Games,,2,,
90,Koei Tecmo Games,Koei Tecmo,2,mid,
91,"Arcen Games, LLC",,2,,
92,Digerati Distribution,,2,,
93,TopWare Interactive,,2,,
94,Bossa Studios Ltd,,2,,
95,Valve Software,Valve Software,2,mid,
96,Zen Studios,Zen Studios,2,mid,
97,Might and Delight,,2,,
98,Stardock,,2,,
99,Tradewest,,2,,
100,Mousechief,,1,,
101,Just A Game,,1,,
102,SCE Australia,,1,,
103,Focus Multimedia,,1,,
104,Cipher Prime Studios,,1,,
105,Digital Extremes,,1,,
106,Terrible Posture Games,,1,,
107,Lumenox ehf,,1,,
108,Lawrence Russell,,1,,
109,PixelNAUTS,,1,,
110,Moonshark,,1,,
111,Kadokawa Shoten,,1,,
112,Autumn Games,,1,,
113,Harmonix Music Systems,,1,,
114,Crocodile Entertainment,,1,,
115,Grinding Gear Games,,1,,
116,Parker Bros,,1,,
117,Different Tuna,,1,,
118,M3,,1,,
119,M2,,1,,
120,Zombie Studios,,1,,
121,animdude,,1,,
122,Iron Galaxy Studios,,1,,
123,Interdimensional Games Inc,,1,,
124,Pocketwatch Games,,1,,
125,Renegade Kid,,1,,
126,Sega Europe,,1,,
127,Remedy Entertainment,,1,,
128,Gamepires,,1,,
129,Evolved Games,,1,,
130,DrinkBox Studios,,1,,
131,Gaijin Games,,1,,
132,Frictional Games,,1,,
133,Arc System Works,,1,,
134,Rombax Games,,1,,
135,ShadowShifters,,1,,
136,Tomorrow Corporation,,1,,
137,Spicy Horse,,1,,
138,Biart,,1,,
139,Puny Human Games,,1,,
140,Sideline Amusements,,1,,
141,Minority,,1,,
142,Limasse Five,,1,,
143,Minor Key Games,,1,,
144,Jeppe Carlsen,,1,,
145,Mediatonic,,1,,
146,Ronimo Games,,1,,
147,Supergiant Games,,1,,
148,DTP Entertainment,,1,,
149,Unity Games Japan,,1,,
150,Humble Hearts,,1,,
151,Digital Reality,,1,,
152,Robot Loves Kitty,,1,,
153,Black Bean Games,,1,,
154,Coffee Stain Studios,,1,,
155,Fair Play Labs,,1,,
156,Freebird Games,,1,,
157,The Codemasters Software Company Limited,,1,,
158,Okugi Studio,,1,,
159,Tribute Games,,1,,
160,Futuremark Games Studio,,1,,
161,Virgin Interactive,,1,,
162,Tale of Tales,,1,,
163,Scientifically Proven,,1,,
164,Marvelous,,1,,
165,Red Barrels,,1,,
166,On Deck Interactive,,1,,
167,Degica,,1,,
168,Retro Affect,,1,,
169,MIST[PSI]PRESS,,1,,
170,IonFX,,1,,
171,24 Carat Games,,1,,
172,Emobi Games,,1,,
173,[bracket]games,,1,,
174,Gottlieb,,1,,
175,Abbey Games,,1,,
176,ORiGO GAMES,,1,,
177,Trapdoor,,1,,
178,Garena,,1,,
179,Webzen,,1,,
180,bitComposer Entertainment AG,,1,,
181,Rocket Bear Games,,1,,
182,Reef Entertainment,,1,,
183,Frontier Developments,,1,,
184,Xseed Games,,1,,
185,Facepalm Games,,1,,
186,Microsoft Corporation,Microsoft,1,major,
187,Tecmo Koei America Corp.,Koei Tecmo,1,mid,
188,MC2 Entertainment,,1,,
189,Compulsion Games,,1,,
190,Alientrap,,1,,
191,1C,,1,,
192,Edmund McMillen,,1,,
193,Jacob Lewandowski,,1,,
194,38 Studios,,1,,
195,superflat games,,1,,
196,Experimental Gameplay,,1,,
197,MagicalTimeBean,,1,,
198,Game Troopers,,1,,
199,BlueGiant Interactive,,1,,
200,The Behemoth,,1,,
201,Havas Interactive,,1,,
202,Egosoft,,1,,
203,Blackpowder Games ,,1,,
204,The Quantum Astrophysicists Guild,,1,,
205,Sega Mobile,,1,,
206,Frogster Interactive,,1,,
207,Namco,Namco Bandai Games,1,major,
208,Hasbro Interactive,,1,,
209,PopTop Software,,1,,
210,Teotl Studios,,1,,
211,UFO Interactive,,1,,
212,Hi-Rez Studios,,1,,
213,Chillingo Ltd,,1,,
214,Hitbox ,,1,,
215,Paradox Development Studio,,1,,
216,EA Sports,EA,1,,
217,Dejobaan Games,,1,,
218,TreeFortress Games,,1,,
